Title,Year, Budget , Revenue , Gross_Revenue ,Average_Vote
The Ghost and the Darkness,1996," 50,000,000 "," 75,000,000 "," 125,000,000 ",6.4
Get on the Bus,1996," 2,400,000 "," 5,731,103 "," 8,131,103 ",7
Shadow Conspiracy,1997," 45,000,000 "," 2,154,540 "," 47,154,540 ",4
Jude,1996," 7,000,000 "," 405,000 "," 7,405,000 ",6.6
Romeo + Juliet,1996," 14,500,000 "," 147,298,761 "," 161,798,761 ",6.7
Swingers,1996," 200,000 "," 4,505,922 "," 4,705,922 ",6.8
Sleepers,1996," 44,000,000 "," 165,615,285 "," 209,615,285 ",7.3
Reservoir Dogs,1992," 1,200,000 "," 14,661,007 "," 15,861,007 ",8.1
Basic Instinct,1992," 49,000,000 "," 352,927,224 "," 401,927,224 ",6.5
The Doors,1991," 38,000,000 "," 34,416,893 "," 72,416,893 ",6.7
The Crying Game,1992," 3,705,538 "," 62,548,947 "," 66,254,485 ",6.9
Glengarry Glen Ross,1992," 12,500,000 "," 10,725,228 "," 23,225,228 ",7.5
Days of Thunder,1990," 60,000,000 "," 157,920,733 "," 217,920,733 ",5.9
The Funeral,1996," 12,500,000 "," 1,227,324 "," 13,727,324 ",7.3
The People vs. Larry Flynt,1996," 36,000,000 "," 20,300,385 "," 56,300,385 ",6.8
Drop Dead Fred,1991," 6,788,000 "," 13,878,334 "," 20,666,334 ",5.9
Bad Moon,1996," 7,000,000 "," 1,100,000 "," 8,100,000 ",5.7
Delicatessen,1991," 4,000,000 "," 1,794,187 "," 5,794,187 ",7.4
The English Patient,1996," 27,000,000 "," 231,976,425 "," 258,976,425 ",7
Strictly Ballroom,1992," 3,000,000 "," 33,946,224 "," 36,946,224 ",6.2
Madonna: Truth or Dare,1991, 4 , 29 , 33 ,6.3
Paris is Burning,1990," 500,000 "," 3,779,620 "," 4,279,620 ",8.2
GoodFellas,1990," 25,000,000 "," 46,836,394 "," 71,836,394 ",8.2
Braindead,1992," 3,000,000 "," 242,623 "," 3,242,623 ",7.4
Miller's Crossing,1990," 14,000,000 "," 5,080,409 "," 19,080,409 ",7.5
Groundhog Day,1993," 14,600,000 "," 70,906,973 "," 85,506,973 ",7.4
Unforgiven,1992," 14,000,000 "," 159,157,447 "," 173,157,447 ",7.7
Fried Green Tomatoes,1991," 11,000,000 "," 119,418,501 "," 130,418,501 ",7.6
Night on Earth,1991," 3,500,000 "," 2,015,810 "," 5,515,810 ",7.5
Alien³,1992," 50,000,000 "," 159,773,545 "," 209,773,545 ",6.2
Dracula,1992," 40,000,000 "," 215,862,692 "," 255,862,692 ",7.1
Candyman,1992," 6,000,000 "," 25,792,310 "," 31,792,310 ",6.2
Cape Fear,1991," 35,000,000 "," 182,300,000 "," 217,300,000 ",7
Star Trek: First Contact,1996," 46,000,000 "," 150,000,000 "," 196,000,000 ",7
Sling Blade,1996," 1,000,000 "," 24,444,121 "," 25,444,121 ",7.4
Jingle All the Way,1996," 60,000,000 "," 129,832,389 "," 189,832,389 ",5.5
The Preacher's Wife,1996," 40,000,000 "," 48,093,211 "," 88,093,211 ",5.4
Ridicule,1996," 3,000,000 "," 2,503,829 "," 5,503,829 ",7.4
101 Dalmatians,1996," 54,000,000 "," 320,689,294 "," 374,689,294 ",5.6
Die Hard 2,1990," 70,000,000 "," 240,031,094 "," 310,031,094 ",6.6
Star Trek VI: The Undiscovered Country,1991," 27,000,000 "," 96,900,000 "," 123,900,000 ",6.7
Batman Returns,1992," 80,000,000 "," 280,000,000 "," 360,000,000 ",6.6
Marked for Death,1990," 12,000,000 "," 46,044,400 "," 58,044,400 ",5.6
Under Siege,1992," 35,000,000 "," 156,563,139 "," 191,563,139 ",6.1
Mars Attacks!,1996," 70,000,000 "," 101,371,017 "," 171,371,017 ",6.1
Citizen Ruth,1996," 3,000,000 "," 153,155 "," 3,153,155 ",6.8
Jerry Maguire,1996," 50,000,000 "," 273,552,592 "," 323,552,592 ",6.7
Marvin's Room,1996," 23,000,000 "," 12,803,305 "," 35,803,305 ",6.6
